   t                        x
   0.0000000000000000e+00   0.0000000000000000e+00
   6.0001200024000476e-07   0.0000000000000000e+00
   1.2000240004800095e-06   0.0000000000000000e+00
   1.8000360007200143e-06   0.0000000000000000e+00
   2.4000480009600190e-06   0.0000000000000000e+00
   3.0000600012000238e-06   0.0000000000000000e+00
   3.6000720014400286e-06   0.0000000000000000e+00
   4.2000840016800333e-06   0.0000000000000000e+00
   4.8000960019200381e-06   0.0000000000000000e+00
   5.4001080021600428e-06   0.0000000000000000e+00
   6.0001200024000476e-06   0.0000000000000000e+00
   6.6001320026400524e-06   0.0000000000000000e+00
   7.2001440028800571e-06   0.0000000000000000e+00
   7.8001560031200627e-06   0.0000000000000000e+00
   8.4001680033600666e-06   0.0000000000000000e+00
   9.0001800036000706e-06   0.0000000000000000e+00
   9.6001920038400762e-06   0.0000000000000000e+00
   1.0200204004080082e-05   0.0000000000000000e+00
   1.0800216004320086e-05   0.0000000000000000e+00
   1.1400228004560090e-05   0.0000000000000000e+00
   1.2000240004800095e-05   0.0000000000000000e+00
   1.2600252005040101e-05   0.0000000000000000e+00
   1.3200264005280105e-05   0.0000000000000000e+00
   1.3800276005520109e-05   0.0000000000000000e+00
   1.4400288005760114e-05   0.0000000000000000e+00
   1.5000300006000120e-05   0.0000000000000000e+00
   1.5600312006240125e-05   0.0000000000000000e+00
   1.6200324006480128e-05   0.0000000000000000e+00
   1.6800336006720133e-05   0.0000000000000000e+00
   1.7400348006960139e-05   0.0000000000000000e+00
   1.8000360007200141e-05   0.0000000000000000e+00
   1.8600372007440147e-05   0.0000000000000000e+00
   1.9200384007680152e-05   0.0000000000000000e+00
   1.9800396007920158e-05   0.0000000000000000e+00
   2.0400408008160164e-05   0.0000000000000000e+00
   2.1000420008400166e-05   0.0000000000000000e+00
   2.1600432008640171e-05   0.0000000000000000e+00
   2.2200444008880177e-05   0.0000000000000000e+00
   2.2800456009120179e-05   0.0000000000000000e+00
   2.3400468009360185e-05   0.0000000000000000e+00
   2.4000480009600190e-05   0.0000000000000000e+00
   2.4600492009840196e-05   0.0000000000000000e+00
   2.5200504010080202e-05   0.0000000000000000e+00
   2.5800516010320204e-05   0.0000000000000000e+00
   2.6400528010560209e-05   0.0000000000000000e+00
   2.7000540010800215e-05   0.0000000000000000e+00
   2.7600552011040217e-05   0.0000000000000000e+00
   2.8200564011280223e-05   0.0000000000000000e+00
   2.8800576011520228e-05   0.0000000000000000e+00
   2.9400588011760234e-05   0.0000000000000000e+00
   3.0000600012000240e-05   0.0000000000000000e+00
   3.0600612012240242e-05   0.0000000000000000e+00
   3.1200624012480251e-05   0.0000000000000000e+00
   3.1800636012720253e-05   0.0000000000000000e+00
   3.2400648012960255e-05   0.0000000000000000e+00
   3.3000660013200264e-05   0.0000000000000000e+00
   3.3600672013440267e-05   0.0000000000000000e+00
   3.4200684013680269e-05   0.0000000000000000e+00
   3.4800696013920278e-05   0.0000000000000000e+00
   3.5400708014160280e-05   0.0000000000000000e+00
   3.6000720014400282e-05   0.0000000000000000e+00
   3.6600732014640291e-05   0.0000000000000000e+00
   3.7200744014880293e-05   0.0000000000000000e+00
   3.7800756015120302e-05   0.0000000000000000e+00
   3.8400768015360305e-05   0.0000000000000000e+00
   3.9000780015600307e-05   0.0000000000000000e+00
   3.9600792015840316e-05   0.0000000000000000e+00
   4.0200804016080318e-05   0.0000000000000000e+00
   4.0800816016320327e-05   0.0000000000000000e+00
   4.1400828016560329e-05   0.0000000000000000e+00
   4.2000840016800332e-05   0.0000000000000000e+00
   4.2600852017040341e-05   0.0000000000000000e+00
   4.3200864017280343e-05   0.0000000000000000e+00
   4.3800876017520345e-05   0.0000000000000000e+00
   4.4400888017760354e-05   0.0000000000000000e+00
   4.5000900018000356e-05   0.0000000000000000e+00
   4.5600912018240358e-05   0.0000000000000000e+00
   4.6200924018480367e-05   0.0000000000000000e+00
   4.6800936018720370e-05   0.0000000000000000e+00
   4.7400948018960379e-05   0.0000000000000000e+00
   4.8000960019200381e-05   0.0000000000000000e+00
   4.8600972019440383e-05   0.0000000000000000e+00
   4.9200984019680392e-05   0.0000000000000000e+00
   4.9800996019920394e-05   0.0000000000000000e+00
   5.0401008020160403e-05   0.0000000000000000e+00
   5.1001020020400405e-05   0.0000000000000000e+00
   5.1601032020640408e-05   0.0000000000000000e+00
   5.2201044020880417e-05   0.0000000000000000e+00
   5.2801056021120419e-05   0.0000000000000000e+00
   5.3401068021360421e-05   0.0000000000000000e+00
   5.4001080021600430e-05   0.0000000000000000e+00
   5.4601092021840432e-05   0.0000000000000000e+00
   5.5201104022080435e-05   0.0000000000000000e+00
   5.5801116022320444e-05   0.0000000000000000e+00
   5.6401128022560446e-05   0.0000000000000000e+00
   5.7001140022800455e-05   0.0000000000000000e+00
   5.7601152023040457e-05   0.0000000000000000e+00
   5.8201164023280459e-05   0.0000000000000000e+00
   5.8801176023520468e-05   0.0000000000000000e+00
   5.9401188023760470e-05   0.0000000000000000e+00
   6.0001200024000479e-05   0.0000000000000000e+00
   6.0601212024240482e-05   0.0000000000000000e+00
   6.1201224024480484e-05   0.0000000000000000e+00
   6.1801236024720493e-05   0.0000000000000000e+00
   6.2401248024960502e-05   0.0000000000000000e+00
   6.3001260025200497e-05   0.0000000000000000e+00
   6.3601272025440506e-05   0.0000000000000000e+00
   6.4201284025680515e-05   0.0000000000000000e+00
   6.4801296025920511e-05   0.0000000000000000e+00
   6.5401308026160520e-05   0.0000000000000000e+00
   6.6001320026400529e-05   0.0000000000000000e+00
   6.6601332026640524e-05   0.0000000000000000e+00
   6.7201344026880533e-05   0.0000000000000000e+00
   6.7801356027120542e-05   0.0000000000000000e+00
   6.8401368027360538e-05   0.0000000000000000e+00
   6.9001380027600547e-05   0.0000000000000000e+00
   6.9601392027840556e-05   0.0000000000000000e+00
   7.0201404028080551e-05   0.0000000000000000e+00
   7.0801416028320560e-05   0.0000000000000000e+00
   7.1401428028560569e-05   0.0000000000000000e+00
   7.2001440028800564e-05   0.0000000000000000e+00
   7.2601452029040573e-05   0.0000000000000000e+00
   7.3201464029280582e-05   0.0000000000000000e+00
   7.3801476029520591e-05   0.0000000000000000e+00
   7.4401488029760587e-05   0.0000000000000000e+00
   7.5001500030000596e-05   0.0000000000000000e+00
   7.5601512030240605e-05   0.0000000000000000e+00
   7.6201524030480600e-05   0.0000000000000000e+00
   7.6801536030720609e-05   0.0000000000000000e+00
   7.7401548030960618e-05   0.0000000000000000e+00
   7.8001560031200614e-05   0.0000000000000000e+00
   7.8601572031440623e-05   0.0000000000000000e+00
   7.9201584031680632e-05   0.0000000000000000e+00
   7.9801596031920627e-05   0.0000000000000000e+00
   8.0401608032160636e-05   0.0000000000000000e+00
   8.1001620032400645e-05   0.0000000000000000e+00
   8.1601632032640654e-05   0.0000000000000000e+00
   8.2201644032880650e-05   0.0000000000000000e+00
   8.2801656033120659e-05   0.0000000000000000e+00
   8.3401668033360668e-05   0.0000000000000000e+00
   8.4001680033600663e-05   0.0000000000000000e+00
   8.4601692033840672e-05   0.0000000000000000e+00
   8.5201704034080681e-05   0.0000000000000000e+00
   8.5801716034320676e-05   0.0000000000000000e+00
   8.6401728034560685e-05   0.0000000000000000e+00
   8.7001740034800694e-05   0.0000000000000000e+00
   8.7601752035040690e-05   0.0000000000000000e+00
   8.8201764035280699e-05   0.0000000000000000e+00
   8.8801776035520708e-05   0.0000000000000000e+00
   8.9401788035760703e-05   0.0000000000000000e+00
   9.0001800036000712e-05   0.0000000000000000e+00
   9.0601812036240721e-05   0.0000000000000000e+00
   9.1201824036480717e-05   0.0000000000000000e+00
   9.1801836036720726e-05   0.0000000000000000e+00
   9.2401848036960735e-05   0.0000000000000000e+00
   9.3001860037200744e-05   0.0000000000000000e+00
   9.3601872037440739e-05   0.0000000000000000e+00
   9.4201884037680748e-05   0.0000000000000000e+00
   9.4801896037920757e-05   0.0000000000000000e+00
   9.5401908038160753e-05   0.0000000000000000e+00
   9.6001920038400762e-05   0.0000000000000000e+00
   9.6601932038640771e-05   0.0000000000000000e+00
   9.7201944038880766e-05   0.0000000000000000e+00
   9.7801956039120775e-05   0.0000000000000000e+00
   9.8401968039360784e-05   0.0000000000000000e+00
   9.9001980039600780e-05   0.0000000000000000e+00
   9.9601992039840789e-05   0.0000000000000000e+00
   1.0020200404008080e-04   0.0000000000000000e+00
   1.0080201604032081e-04   0.0000000000000000e+00
   1.0140202804056080e-04   0.0000000000000000e+00
   1.0200204004080081e-04   0.0000000000000000e+00
   1.0260205204104082e-04   0.0000000000000000e+00
   1.0320206404128082e-04   0.0000000000000000e+00
   1.0380207604152082e-04   0.0000000000000000e+00
   1.0440208804176083e-04   0.0000000000000000e+00
   1.0500210004200083e-04   0.0000000000000000e+00
   1.0560211204224084e-04   0.0000000000000000e+00
   1.0620212404248085e-04   0.0000000000000000e+00
   1.0680213604272084e-04   0.0000000000000000e+00
   1.0740214804296085e-04   0.0000000000000000e+00
   1.0800216004320086e-04   0.0000000000000000e+00
   1.0860217204344086e-04   0.0000000000000000e+00
   1.0920218404368086e-04   0.0000000000000000e+00
   1.0980219604392087e-04   0.0000000000000000e+00
   1.1040220804416087e-04   0.0000000000000000e+00
   1.1100222004440088e-04   0.0000000000000000e+00
   1.1160223204464089e-04   0.0000000000000000e+00
   1.1220224404488090e-04   0.0000000000000000e+00
   1.1280225604512089e-04   0.0000000000000000e+00
   1.1340226804536090e-04   0.0000000000000000e+00
   1.1400228004560091e-04   0.0000000000000000e+00
   1.1460229204584090e-04   0.0000000000000000e+00
   1.1520230404608091e-04   0.0000000000000000e+00
   1.1580231604632092e-04   0.0000000000000000e+00
   1.1640232804656092e-04   0.0000000000000000e+00
   1.1700234004680093e-04   0.0000000000000000e+00
   1.1760235204704094e-04   0.0000000000000000e+00
   1.1820236404728093e-04   0.0000000000000000e+00
   1.1880237604752094e-04   0.0000000000000000e+00
   1.1940238804776095e-04   0.0000000000000000e+00
   1.2000240004800096e-04   0.0000000000000000e+00
   1.2060241204824095e-04   0.0000000000000000e+00
   1.2120242404848096e-04   0.0000000000000000e+00
   1.2180243604872097e-04   0.0000000000000000e+00
   1.2240244804896097e-04   0.0000000000000000e+00
   1.2300246004920098e-04   0.0000000000000000e+00
   1.2360247204944099e-04   0.0000000000000000e+00
   1.2420248404968099e-04   0.0000000000000000e+00
   1.2480249604992100e-04   0.0000000000000000e+00
   1.2540250805016099e-04   0.0000000000000000e+00
   1.2600252005040099e-04   0.0000000000000000e+00
   1.2660253205064100e-04   0.0000000000000000e+00
   1.2720254405088101e-04   0.0000000000000000e+00
   1.2780255605112102e-04   0.0000000000000000e+00
   1.2840256805136103e-04   0.0000000000000000e+00
   1.2900258005160101e-04   0.0000000000000000e+00
   1.2960259205184102e-04   0.0000000000000000e+00
   1.3020260405208103e-04   0.0000000000000000e+00
   1.3080261605232104e-04   0.0000000000000000e+00
   1.3140262805256105e-04   0.0000000000000000e+00
   1.3200264005280106e-04   0.0000000000000000e+00
   1.3260265205304104e-04   0.0000000000000000e+00
   1.3320266405328105e-04   0.0000000000000000e+00
   1.3380267605352106e-04   0.0000000000000000e+00
   1.3440268805376107e-04   0.0000000000000000e+00
   1.3500270005400108e-04   0.0000000000000000e+00
   1.3560271205424108e-04   0.0000000000000000e+00
   1.3620272405448109e-04   0.0000000000000000e+00
   1.3680273605472108e-04   0.0000000000000000e+00
   1.3740274805496108e-04   0.0000000000000000e+00
   1.3800276005520109e-04   0.0000000000000000e+00
   1.3860277205544110e-04   0.0000000000000000e+00
   1.3920278405568111e-04   0.0000000000000000e+00
   1.3980279605592112e-04   0.0000000000000000e+00
   1.4040280805616110e-04   0.0000000000000000e+00
   1.4100282005640111e-04   0.0000000000000000e+00
   1.4160283205664112e-04   0.0000000000000000e+00
   1.4220284405688113e-04   0.0000000000000000e+00
   1.4280285605712114e-04   0.0000000000000000e+00
   1.4340286805736115e-04   0.0000000000000000e+00
   1.4400288005760113e-04   0.0000000000000000e+00
   1.4460289205784114e-04   0.0000000000000000e+00
   1.4520290405808115e-04   0.0000000000000000e+00
   1.4580291605832116e-04   0.0000000000000000e+00
   1.4640292805856116e-04   0.0000000000000000e+00
   1.4700294005880117e-04   0.0000000000000000e+00
   1.4760295205904118e-04   0.0000000000000000e+00
   1.4820296405928116e-04   0.0000000000000000e+00
   1.4880297605952117e-04   0.0000000000000000e+00
   1.4940298805976118e-04   0.0000000000000000e+00
   1.5000300006000119e-04   0.0000000000000000e+00
   1.5060301206024120e-04   0.0000000000000000e+00
   1.5120302406048121e-04   0.0000000000000000e+00
   1.5180303606072119e-04   0.0000000000000000e+00
   1.5240304806096120e-04   0.0000000000000000e+00
   1.5300306006120121e-04   0.0000000000000000e+00
   1.5360307206144122e-04   0.0000000000000000e+00
   1.5420308406168123e-04   0.0000000000000000e+00
   1.5480309606192124e-04   0.0000000000000000e+00
   1.5540310806216125e-04   0.0000000000000000e+00
   1.5600312006240123e-04   0.0000000000000000e+00
   1.5660313206264124e-04   0.0000000000000000e+00
   1.5720314406288125e-04   0.0000000000000000e+00
   1.5780315606312125e-04   0.0000000000000000e+00
   1.5840316806336126e-04   0.0000000000000000e+00
   1.5900318006360127e-04   0.0000000000000000e+00
   1.5960319206384125e-04   0.0000000000000000e+00
   1.6020320406408126e-04   0.0000000000000000e+00
   1.6080321606432127e-04   0.0000000000000000e+00
   1.6140322806456128e-04   0.0000000000000000e+00
   1.6200324006480129e-04   0.0000000000000000e+00
   1.6260325206504130e-04   0.0000000000000000e+00
   1.6320326406528131e-04   0.0000000000000000e+00
   1.6380327606552129e-04   0.0000000000000000e+00
   1.6440328806576130e-04   0.0000000000000000e+00
   1.6500330006600131e-04   0.0000000000000000e+00
   1.6560331206624132e-04   0.0000000000000000e+00
   1.6620332406648133e-04   0.0000000000000000e+00
   1.6680333606672134e-04   0.0000000000000000e+00
   1.6740334806696132e-04   0.0000000000000000e+00
   1.6800336006720133e-04   0.0000000000000000e+00
   1.6860337206744134e-04   0.0000000000000000e+00
   1.6920338406768134e-04   0.0000000000000000e+00
   1.6980339606792135e-04   0.0000000000000000e+00
   1.7040340806816136e-04   0.0000000000000000e+00
   1.7100342006840134e-04   0.0000000000000000e+00
   1.7160343206864135e-04   0.0000000000000000e+00
   1.7220344406888136e-04   0.0000000000000000e+00
   1.7280345606912137e-04   0.0000000000000000e+00
   1.7340346806936138e-04   0.0000000000000000e+00
   1.7400348006960139e-04   0.0000000000000000e+00
   1.7460349206984140e-04   0.0000000000000000e+00
   1.7520350407008138e-04   0.0000000000000000e+00
   1.7580351607032139e-04   0.0000000000000000e+00
   1.7640352807056140e-04   0.0000000000000000e+00
   1.7700354007080141e-04   0.0000000000000000e+00
   1.7760355207104142e-04   0.0000000000000000e+00
   1.7820356407128142e-04   0.0000000000000000e+00
   1.7880357607152141e-04   0.0000000000000000e+00
   1.7940358807176142e-04   0.0000000000000000e+00
   1.8000360007200142e-04   0.0000000000000000e+00
   1.8060361207224143e-04   0.0000000000000000e+00
   1.8120362407248144e-04   0.0000000000000000e+00
   1.8180363607272145e-04   0.0000000000000000e+00
   1.8240364807296143e-04   0.0000000000000000e+00
   1.8300366007320144e-04   0.0000000000000000e+00
   1.8360367207344145e-04   0.0000000000000000e+00
   1.8420368407368146e-04   0.0000000000000000e+00
   1.8480369607392147e-04   0.0000000000000000e+00
   1.8540370807416148e-04   0.0000000000000000e+00
   1.8600372007440149e-04   0.0000000000000000e+00
   1.8660373207464147e-04   0.0000000000000000e+00
   1.8720374407488148e-04   0.0000000000000000e+00
   1.8780375607512149e-04   0.0000000000000000e+00
   1.8840376807536150e-04   0.0000000000000000e+00
   1.8900378007560151e-04   0.0000000000000000e+00
   1.8960379207584151e-04   0.0000000000000000e+00
   1.9020380407608150e-04   0.0000000000000000e+00
   1.9080381607632151e-04   0.0000000000000000e+00
   1.9140382807656151e-04   0.0000000000000000e+00
   1.9200384007680152e-04   0.0000000000000000e+00
   1.9260385207704153e-04   0.0000000000000000e+00
   1.9320386407728154e-04   0.0000000000000000e+00
   1.9380387607752155e-04   0.0000000000000000e+00
   1.9440388807776153e-04   0.0000000000000000e+00
   1.9500390007800154e-04   0.0000000000000000e+00
   1.9560391207824155e-04   0.0000000000000000e+00
   1.9620392407848156e-04   0.0000000000000000e+00
   1.9680393607872157e-04   0.0000000000000000e+00
   1.9740394807896158e-04   0.0000000000000000e+00
   1.9800396007920156e-04   0.0000000000000000e+00
   1.9860397207944157e-04   0.0000000000000000e+00
   1.9920398407968158e-04   0.0000000000000000e+00
   1.9980399607992159e-04   0.0000000000000000e+00
   2.0040400808016160e-04   0.0000000000000000e+00
   2.0100402008040160e-04   0.0000000000000000e+00
   2.0160403208064161e-04   0.0000000000000000e+00
   2.0220404408088159e-04   0.0000000000000000e+00
   2.0280405608112160e-04   0.0000000000000000e+00
   2.0340406808136161e-04   0.0000000000000000e+00
   2.0400408008160162e-04   0.0000000000000000e+00
   2.0460409208184163e-04   0.0000000000000000e+00
   2.0520410408208164e-04   0.0000000000000000e+00
   2.0580411608232162e-04   0.0000000000000000e+00
   2.0640412808256163e-04   0.0000000000000000e+00
   2.0700414008280164e-04   0.0000000000000000e+00
   2.0760415208304165e-04   0.0000000000000000e+00
   2.0820416408328166e-04   0.0000000000000000e+00
   2.0880417608352167e-04   0.0000000000000000e+00
   2.0940418808376165e-04   0.0000000000000000e+00
   2.1000420008400166e-04   0.0000000000000000e+00
   2.1060421208424167e-04   0.0000000000000000e+00
   2.1120422408448168e-04   0.0000000000000000e+00
   2.1180423608472168e-04   0.0000000000000000e+00
   2.1240424808496169e-04   0.0000000000000000e+00
   2.1300426008520170e-04   0.0000000000000000e+00
   2.1360427208544168e-04   0.0000000000000000e+00
   2.1420428408568169e-04   0.0000000000000000e+00
   2.1480429608592170e-04   0.0000000000000000e+00
   2.1540430808616171e-04   0.0000000000000000e+00
   2.1600432008640172e-04   0.0000000000000000e+00
   2.1660433208664173e-04   0.0000000000000000e+00
   2.1720434408688171e-04   0.0000000000000000e+00
   2.1780435608712172e-04   0.0000000000000000e+00
   2.1840436808736173e-04   0.0000000000000000e+00
   2.1900438008760174e-04   0.0000000000000000e+00
   2.1960439208784175e-04   0.0000000000000000e+00
   2.2020440408808176e-04   0.0000000000000000e+00
   2.2080441608832174e-04   0.0000000000000000e+00
   2.2140442808856175e-04   0.0000000000000000e+00
   2.2200444008880176e-04   0.0000000000000000e+00
   2.2260445208904177e-04   0.0000000000000000e+00
   2.2320446408928177e-04   0.0000000000000000e+00
   2.2380447608952178e-04   0.0000000000000000e+00
   2.2440448808976179e-04   0.0000000000000000e+00
   2.2500450009000177e-04   0.0000000000000000e+00
   2.2560451209024178e-04   0.0000000000000000e+00
   2.2620452409048179e-04   0.0000000000000000e+00
   2.2680453609072180e-04   0.0000000000000000e+00
   2.2740454809096181e-04   0.0000000000000000e+00
   2.2800456009120182e-04   0.0000000000000000e+00
   2.2860457209144180e-04   0.0000000000000000e+00
   2.2920458409168181e-04   0.0000000000000000e+00
   2.2980459609192182e-04   0.0000000000000000e+00
   2.3040460809216183e-04   0.0000000000000000e+00
   2.3100462009240184e-04   0.0000000000000000e+00
   2.3160463209264185e-04   0.0000000000000000e+00
   2.3220464409288185e-04   0.0000000000000000e+00
   2.3280465609312184e-04   0.0000000000000000e+00
   2.3340466809336185e-04   0.0000000000000000e+00
   2.3400468009360185e-04   0.0000000000000000e+00
   2.3460469209384186e-04   0.0000000000000000e+00
   2.3520470409408187e-04   0.0000000000000000e+00
   2.3580471609432188e-04   0.0000000000000000e+00
   2.3640472809456186e-04   0.0000000000000000e+00
   2.3700474009480187e-04   0.0000000000000000e+00
   2.3760475209504188e-04   0.0000000000000000e+00
   2.3820476409528189e-04   0.0000000000000000e+00
   2.3880477609552190e-04   0.0000000000000000e+00
   2.3940478809576191e-04   0.0000000000000000e+00
   2.4000480009600192e-04   0.0000000000000000e+00
   2.4060481209624190e-04   0.0000000000000000e+00
   2.4120482409648191e-04   0.0000000000000000e+00
   2.4180483609672192e-04   0.0000000000000000e+00
   2.4240484809696193e-04   0.0000000000000000e+00
   2.4300486009720194e-04   0.0000000000000000e+00
   2.4360487209744194e-04   0.0000000000000000e+00
   2.4420488409768193e-04   0.0000000000000000e+00
