t                        x
   1.1580231604632092e-04   1.0352279849240068e-16
   1.1640232804656092e-04   1.0481583963139289e-16
   1.1700234004680093e-04   1.0611965304095917e-16
   1.1760235204704094e-04   1.0743429682499722e-16
   1.1820236404728093e-04   1.0875982939296762e-16
   1.1880237604752094e-04   1.1009630946145743e-16
   1.1940238804776095e-04   1.1144379605575146e-16
   1.2000240004800096e-04   1.1280234851141153e-16
   1.2060241204824095e-04   1.1417202647586344e-16
   1.2120242404848096e-04   1.1555288990999193e-16
   1.2180243604872097e-04   1.1694499908974331e-16
   1.2240244804896097e-04   1.1834841460773643e-16
   1.2300246004920098e-04   1.1976319737488128e-16
   1.2360247204944099e-04   1.2118940862200585e-16
   1.2420248404968099e-04   1.2262710990149096e-16
   1.2480249604992100e-04   1.2407636308891326e-16
   1.2540250805016099e-04   1.2553723038469635e-16
   1.2600252005040099e-04   1.2700977431576999e-16
   1.2660253205064100e-04   1.2849405773723769e-16
   1.2720254405088101e-04   1.2999014383405255e-16
   1.2780255605112102e-04   1.3149809612270128e-16
   1.2840256805136103e-04   1.3301797845289675e-16
   1.2900258005160101e-04   1.3454985500927867e-16
   1.2960259205184102e-04   1.3609379031312297e-16
   1.3020260405208103e-04   1.3764984922405948e-16
   1.3080261605232104e-04   1.3921809694179817e-16
   1.3140262805256105e-04   1.4079859900786388e-16
   1.3200264005280106e-04   1.4239142130733981e-16
   1.3260265205304104e-04   1.4399663007061938e-16
   1.3320266405328105e-04   1.4561429187516692e-16
   1.3380267605352106e-04   1.4724447364728717e-16
   1.3440268805376107e-04   1.4888724266390323e-16
   1.3500270005400108e-04   1.5054266655434366e-16
   1.3560271205424108e-04   1.5221081330213814e-16
   1.3620272405448109e-04   1.5389175124682213e-16
   1.3680273605472108e-04   1.5558554908575048e-16
   1.3740274805496108e-04   1.5729227587591999e-16
   1.3800276005520109e-04   1.5901200103580085e-16
   1.3860277205544110e-04   1.6074479434717734e-16
   1.3920278405568111e-04   1.6249072595699751e-16
   1.3980279605592112e-04   1.6424986637923194e-16
   1.4040280805616110e-04   1.6602228649674185e-16
   1.4100282005640111e-04   1.6780805756315627e-16
   1.4160283205664112e-04   1.6960725120475857e-16
   1.4220284405688113e-04   1.7141993942238228e-16
   1.4280285605712114e-04   1.7324619459331632e-16
   1.4340286805736115e-04   1.7508608947321948e-16
   1.4400288005760113e-04   1.7693969719804461e-16
   1.4460289205784114e-04   1.7880709128597200e-16
   1.4520290405808115e-04   1.8068834563935252e-16
   1.4580291605832116e-04   1.8258353454666030e-16
   1.4640292805856116e-04   1.8449273268445495e-16
   1.4700294005880117e-04   1.8641601511935353e-16
   1.4760295205904118e-04   1.8835345731001223e-16
